ARO Name,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),Erm 23S ribosomal RNA methyltransferase,lincosamide,antibiotic target alteration,Spyo_ErmA_MLSb
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),Erm 23S ribosomal RNA methyltransferase,macrolide,antibiotic target alteration,Spyo_ErmA_MLSb
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),Erm 23S ribosomal RNA methyltransferase,streptogramin,antibiotic target alteration,Spyo_ErmA_MLSb
AAC(2')-Ia,AAC(2'),aminoglycoside,antibiotic inactivation,AAC(2')-Ia
AAC(2')-Ib,AAC(2'),aminoglycoside,antibiotic inactivation,AAC(2')-Ib
AAC(2')-Ic,AAC(2'),aminoglycoside,antibiotic inactivation,AAC(2')-Ic
AAC(2')-Id,AAC(2'),aminoglycoside,antibiotic inactivation,AAC(2')-Id
AAC(2')-Ie,AAC(2'),aminoglycoside,antibiotic inactivation,AAC(2')-Ie
AAC(2')-IIa,AAC(2'),aminoglycoside,antibiotic inactivation,AAC(2')-IIa
AAC(2')-IIb,AAC(2'),aminoglycoside,antibiotic inactivation,AAC(2')-IIb
AAC(3)-Ia,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-Ia
AAC(3)-Ib,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-Ib
AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein,aminoglycoside bifunctional resistance protein,aminoglycoside,antibiotic inactivation,AAC_3Ib_AAC_6Ib
AAC(3)-Ic,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-Ic
AAC(3)-Id,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-Id
AAC(3)-IIa,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIa
AAC(3)-IIb,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIb
AAC(3)-IIc,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIc
AAC(3)-IId,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IId
AAC(3)-IIe,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIe
AAC(3)-IIg,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIg
AAC(3)-IIIa,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIIa
AAC(3)-IIIb,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIIb
AAC(3)-IIIc,AAC(3),aminoglycoside,antibiotic inactivation,AAC(3)-IIIc
