bacteria_name_encoded,antibiotic_encoded,country_encoded,specimen_site_encoded,year,resist_rate_bacteria,resist_rate_antibiotic,resist_rate_country,is_resistant
3,1,5,1,2023,0.515,0.877,0.473,1
3,7,5,1,2023,0.515,0.538,0.473,1
3,5,5,1,2023,0.515,0.512,0.473,1
3,21,5,1,2023,0.515,0.677,0.473,1
3,11,5,1,2023,0.515,0.469,0.473,1
3,12,5,1,2023,0.515,0.278,0.473,1
3,0,5,1,2023,0.515,0.273,0.473,0
3,9,5,1,2023,0.515,0.143,0.473,1
8,17,5,3,2022,0.331,0.429,0.473,1
8,10,5,3,2022,0.331,0.538,0.473,1
8,21,5,3,2022,0.331,0.677,0.473,1
8,7,5,3,2022,0.331,0.538,0.473,0
8,5,5,3,2022,0.331,0.512,0.473,0
8,22,5,3,2022,0.331,0.097,0.473,0
8,20,5,3,2022,0.331,0.61,0.473,1
8,8,5,3,2022,0.331,0.39,0.473,0
3,1,6,0,2021,0.515,0.877,0.469,1
3,7,6,0,2021,0.515,0.538,0.469,0
3,5,6,0,2021,0.515,0.512,0.469,1
3,21,6,0,2021,0.515,0.677,0.469,0
3,11,6,0,2021,0.515,0.469,0.469,0
3,12,6,0,2021,0.515,0.278,0.469,0
3,0,6,0,2021,0.515,0.273,0.469,1
3,9,6,0,2021,0.515,0.143,0.469,0
7,16,3,3,2023,0.457,0.496,0.469,1
7,7,3,3,2023,0.457,0.538,0.469,1
7,10,3,3,2023,0.457,0.538,0.469,0
7,21,3,3,2023,0.457,0.677,0.469,0
7,11,3,3,2023,0.457,0.469,0.469,0
7,22,3,3,2023,0.457,0.097,0.469,0
7,8,3,3,2023,0.457,0.39,0.469,1
7,20,3,3,2023,0.457,0.61,0.469,1
6,1,6,0,2020,0.409,0.877,0.469,1
6,7,6,0,2020,0.409,0.538,0.469,1
6,6,6,0,2020,0.409,0.536,0.469,0
6,21,6,0,2020,0.409,0.677,0.469,1
6,5,6,0,2020,0.409,0.512,0.469,0
6,2,6,0,2020,0.409,0.192,0.469,0
6,20,6,0,2020,0.409,0.61,0.469,0
6,0,6,0,2020,0.409,0.273,0.469,0
7,16,6,0,2023,0.457,0.496,0.469,1
7,7,6,0,2023,0.457,0.538,0.469,1
7,10,6,0,2023,0.457,0.538,0.469,0
7,21,6,0,2023,0.457,0.677,0.469,1
7,11,6,0,2023,0.457,0.469,0.469,1
7,22,6,0,2023,0.457,0.097,0.469,0
7,8,6,0,2023,0.457,0.39,0.469,1
7,20,6,0,2023,0.457,0.61,0.469,0
2,1,5,5,2022,0.49,0.877,0.473,1
2,7,5,5,2022,0.49,0.538,0.473,1
2,5,5,5,2022,0.49,0.512,0.473,1
2,21,5,5,2022,0.49,0.677,0.473,1
2,11,5,5,2022,0.49,0.469,0.473,0
2,12,5,5,2022,0.49,0.278,0.473,0
2,0,5,5,2022,0.49,0.273,0.473,0
2,15,5,5,2022,0.49,0.249,0.473,0
0,7,5,2,2020,0.689,0.538,0.473,1
0,12,5,2,2020,0.689,0.278,0.473,1
0,11,5,2,2020,0.689,0.469,0.473,1
0,5,5,2,2020,0.689,0.512,0.473,1
0,0,5,2,2020,0.689,0.273,0.473,1
0,9,5,2,2020,0.689,0.143,0.473,0
0,14,5,2,2020,0.689,0.514,0.473,1
0,21,5,2,2020,0.689,0.677,0.473,1
1,1,4,4,2020,0.417,0.877,0.464,1
1,22,4,4,2020,0.417,0.097,0.464,0
1,10,4,4,2020,0.417,0.538,0.464,1
1,20,4,4,2020,0.417,0.61,0.464,1
1,7,4,4,2020,0.417,0.538,0.464,1
1,11,4,4,2020,0.417,0.469,0.464,1
1,13,4,4,2020,0.417,0.11,0.464,0
1,15,4,4,2020,0.417,0.249,0.464,0
7,16,2,2,2024,0.457,0.496,0.468,1
7,7,2,2,2024,0.457,0.538,0.468,0
7,10,2,2,2024,0.457,0.538,0.468,1
