bacteria_name,antibiotic,resist_rate_pair
Acinetobacter baumannii,Amikacin,0.637
Acinetobacter baumannii,Ceftriaxone,0.879
Acinetobacter baumannii,Ciprofloxacin,0.81
Acinetobacter baumannii,Colistin,0.196
Acinetobacter baumannii,Gentamicin,0.794
Acinetobacter baumannii,Imipenem,0.683
Acinetobacter baumannii,Meropenem,0.669
Acinetobacter baumannii,Trimethoprim,0.843
Enterococcus faecalis,Ampicillin,0.312
Enterococcus faecalis,Ciprofloxacin,0.598
Enterococcus faecalis,Erythromycin,0.718
Enterococcus faecalis,Gentamicin,0.478
Enterococcus faecalis,Linezolid,0.11
Enterococcus faecalis,Nitrofurantoin,0.216
Enterococcus faecalis,Tetracycline,0.731
Enterococcus faecalis,Vancomycin,0.169
Escherichia coli,Amikacin,0.208
Escherichia coli,Ampicillin,0.92
Escherichia coli,Ceftriaxone,0.523
Escherichia coli,Ciprofloxacin,0.643
Escherichia coli,Gentamicin,0.428
Escherichia coli,Imipenem,0.165
Escherichia coli,Nitrofurantoin,0.255
Escherichia coli,Trimethoprim,0.782
Klebsiella pneumoniae,Amikacin,0.27
Klebsiella pneumoniae,Ampicillin,1.0
Klebsiella pneumoniae,Ceftriaxone,0.694
Klebsiella pneumoniae,Ciprofloxacin,0.577
Klebsiella pneumoniae,Colistin,0.134
Klebsiella pneumoniae,Gentamicin,0.474
Klebsiella pneumoniae,Imipenem,0.237
Klebsiella pneumoniae,Trimethoprim,0.735
Neisseria gonorrhoeae,Azithromycin,0.359
Neisseria gonorrhoeae,Cefixime,0.261
Neisseria gonorrhoeae,Ceftriaxone,0.209
Neisseria gonorrhoeae,Ciprofloxacin,0.712
Neisseria gonorrhoeae,Gentamicin,0.17
Neisseria gonorrhoeae,Penicillin,0.752
Neisseria gonorrhoeae,Spectinomycin,0.124
Neisseria gonorrhoeae,Tetracycline,0.791
Pseudomonas aeruginosa,Amikacin,0.332
Pseudomonas aeruginosa,Ceftazidime,0.446
Pseudomonas aeruginosa,Ciprofloxacin,0.499
Pseudomonas aeruginosa,Colistin,0.123
Pseudomonas aeruginosa,Gentamicin,0.554
Pseudomonas aeruginosa,Imipenem,0.421
Pseudomonas aeruginosa,Meropenem,0.377
Pseudomonas aeruginosa,Piperacillin,0.531
Salmonella typhi,Amikacin,0.135
Salmonella typhi,Ampicillin,0.687
Salmonella typhi,Azithromycin,0.15
Salmonella typhi,Ceftriaxone,0.146
Salmonella typhi,Chloramphenicol,0.536
Salmonella typhi,Ciprofloxacin,0.368
Salmonella typhi,Tetracycline,0.646
Salmonella typhi,Trimethoprim,0.607
Staphylococcus aureus,Ciprofloxacin,0.527
Staphylococcus aureus,Clindamycin,0.45
Staphylococcus aureus,Erythromycin,0.619
Staphylococcus aureus,Gentamicin,0.402
Staphylococcus aureus,Oxacillin,0.496
Staphylococcus aureus,Tetracycline,0.595
Staphylococcus aureus,Trimethoprim,0.476
Staphylococcus aureus,Vancomycin,0.088
Streptococcus pneumoniae,Ceftriaxone,0.229
Streptococcus pneumoniae,Ciprofloxacin,0.18
Streptococcus pneumoniae,Clindamycin,0.284
Streptococcus pneumoniae,Erythromycin,0.331
Streptococcus pneumoniae,Penicillin,0.37
Streptococcus pneumoniae,Tetracycline,0.534
Streptococcus pneumoniae,Trimethoprim,0.631
Streptococcus pneumoniae,Vancomycin,0.088
